Error: That port is already in use.
[14/Jul/2019 20:19:35] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:19:36] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:33:30] "GET /admin/logout/ HTTP/1.1" 200 1011
[14/Jul/2019 20:33:30] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[14/Jul/2019 20:33:30] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[14/Jul/2019 20:33:30] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
[14/Jul/2019 20:33:30] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[14/Jul/2019 20:33:34] "GET /admin/ HTTP/1.1" 302 0
[14/Jul/2019 20:33:34] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1652
[14/Jul/2019 20:33:34] "GET /static/admin/css/login.css HTTP/1.1" 304 0
[14/Jul/2019 20:33:40] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[14/Jul/2019 20:33:40] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:33:41] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[14/Jul/2019 20:33:41] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[14/Jul/2019 20:33:41] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /admin/firetemplate/system/ HTTP/1.1" 200 6090
[14/Jul/2019 20:34:14] "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:34:14] "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /static/admin/img/search.svg HTTP/1.1" 304 0
[14/Jul/2019 20:34:14] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
[14/Jul/2019 20:34:33] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:34:36] "GET /admin/firetemplate/firewalltemplate/ HTTP/1.1" 200 6292
[14/Jul/2019 20:34:36] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:34:42] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:34:43] "GET /admin/firetemplate/system/ HTTP/1.1" 200 6090
[14/Jul/2019 20:34:43] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:34:57] "GET /admin/firetemplate/system/?system_name=Centos HTTP/1.1" 200 5713
[14/Jul/2019 20:34:57] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:34:59] "GET /admin/firetemplate/system/?system_name=centos HTTP/1.1" 200 6087
[14/Jul/2019 20:34:59] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:35:00] "GET /admin/firetemplate/system/?system_name=Centos HTTP/1.1" 200 5713
[14/Jul/2019 20:35:00] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:35:01] "GET /admin/firetemplate/system/?system_name=centos HTTP/1.1" 200 6087
[14/Jul/2019 20:35:01] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:35:03] "GET /admin/firetemplate/system/?system_name=centos HTTP/1.1" 200 6087
[14/Jul/2019 20:35:03] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:35:08] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:35:09] "GET /admin/firetemplate/firewalltemplate/ HTTP/1.1" 200 6292
[14/Jul/2019 20:35:09] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:35:32] "GET /admin/firetemplate/firewalltemplate/add/ HTTP/1.1" 200 6149
[14/Jul/2019 20:35:32] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[14/Jul/2019 20:35:32] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:35:32] "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[14/Jul/2019 20:35:32] "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[14/Jul/2019 20:35:32] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[14/Jul/2019 20:35:37] "GET /admin/firetemplate/firewalltemplate/ HTTP/1.1" 200 6292
[14/Jul/2019 20:35:44] "GET /admin/firetemplate/ HTTP/1.1" 200 2740
[14/Jul/2019 20:35:45] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[14/Jul/2019 20:35:46] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:35:47] "GET /admin/hosts/host/ HTTP/1.1" 200 6062
[14/Jul/2019 20:35:47] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:35:54] "GET /admin/hosts/host/2/change/ HTTP/1.1" 200 7771
[14/Jul/2019 20:35:54] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:36:27] "GET /admin/hosts/host/ HTTP/1.1" 200 6062
[14/Jul/2019 20:36:27] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:36:29] "GET /admin/hosts/host/1/change/ HTTP/1.1" 200 7732
[14/Jul/2019 20:36:29] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:36:51] "GET /admin/hosts/ HTTP/1.1" 200 2191
[14/Jul/2019 20:36:53] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:36:54] "GET /admin/rules/rulelist/ HTTP/1.1" 200 5722
[14/Jul/2019 20:36:55] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:37:14] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:37:16] "GET /admin/auth/user/ HTTP/1.1" 200 6485
[14/Jul/2019 20:37:16] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:37:16] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[14/Jul/2019 20:37:16] "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
[14/Jul/2019 20:37:24] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:37:25] "GET /admin/auth/group/ HTTP/1.1" 200 3358
[14/Jul/2019 20:37:25] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:37:26] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:37:27] "GET /admin/auth/user/ HTTP/1.1" 200 6485
[14/Jul/2019 20:37:27] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:37:29] "GET /admin/auth/user/add/ HTTP/1.1" 200 5488
[14/Jul/2019 20:37:30] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:37:33] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:37:35] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:37:59] "GET /admin/auth/user/ HTTP/1.1" 200 6485
[14/Jul/2019 20:37:59] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:38:07] "GET /admin/auth/ HTTP/1.1" 200 2616
[14/Jul/2019 20:38:08] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:38:16] "GET /admin/auth/user/ HTTP/1.1" 200 6485
[14/Jul/2019 20:38:16] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:38:18] "GET /admin/auth/user/1/change/ HTTP/1.1" 200 14301
[14/Jul/2019 20:38:18] "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 5755
[14/Jul/2019 20:38:18] "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 12389
[14/Jul/2019 20:38:18] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:38:18] "GET /static/admin/js/calendar.js HTTP/1.1" 200 7790
[14/Jul/2019 20:38:18] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 20529
[14/Jul/2019 20:38:18] "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
[14/Jul/2019 20:38:18] "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
[14/Jul/2019 20:38:18] "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
[14/Jul/2019 20:38:18] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[14/Jul/2019 20:38:18] "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
[14/Jul/2019 20:38:33] "GET /admin/auth/user/1/password/ HTTP/1.1" 200 2954
[14/Jul/2019 20:38:33] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:38:35] "GET /admin/auth/user/1/change/ HTTP/1.1" 200 14301
[14/Jul/2019 20:38:36] "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
[14/Jul/2019 20:38:56] "GET /admin/auth/user/ HTTP/1.1" 200 6485
[14/Jul/2019 20:40:55] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[14/Jul/2019 20:40:55] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:40:55] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[14/Jul/2019 20:40:55] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[14/Jul/2019 20:40:55] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[14/Jul/2019 20:40:55] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
[14/Jul/2019 20:40:57] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:40:58] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[14/Jul/2019 20:40:58] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:41:02] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:41:03] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[14/Jul/2019 20:41:03] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:41:05] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:41:06] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[14/Jul/2019 20:41:06] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[14/Jul/2019 20:41:08] "GET /admin/ HTTP/1.1" 200 8422
[14/Jul/2019 20:41:10] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[14/Jul/2019 20:41:10] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
